desgination in screen,PATRIC genome ID,Taxonomy
Akkermansia muciniphila,239935.2174,SAMN11943001
Akkermansia muciniphila,239935.2173,SAMN11943002
Akkermansia muciniphila,239935.2172,SAMN11943005
Akkermansia muciniphila,239935.2171,SAMN11943003
Akkermansia muciniphila,239935.2170,SAMN11943004
Akkermansia muciniphila,239935.2169,SAMN11943006
Akkermansia muciniphila,239935.2168,SAMN11943007
Akkermansia muciniphila,239935.2167,SAMN11943008
Akkermansia muciniphila,239935.2166,SAMN11943009
Akkermansia muciniphila,239935.2165,SAMN11943011
Akkermansia muciniphila,239935.2164,SAMN11943013
Akkermansia muciniphila,239935.2163,SAMN11943014
Akkermansia muciniphila,239935.2162,SAMN11943015
Akkermansia muciniphila,239935.2161,SAMN11943016
Akkermansia muciniphila,239935.2160,SAMN11943018
Akkermansia muciniphila,239935.2159,SAMN11943017
Akkermansia muciniphila,239935.2158,SAMN11943019
Akkermansia muciniphila,239935.2157,SAMN11943020
Akkermansia muciniphila,239935.2156,SAMN11943022
Akkermansia muciniphila,239935.2155,SAMN11943021
Akkermansia muciniphila,239935.2154,SAMN11943023
Akkermansia muciniphila,239935.2153,SAMN11943025
Akkermansia muciniphila,239935.2152,SAMN11943024
Akkermansia muciniphila,239935.2151,SAMN11943028
Akkermansia muciniphila,239935.2150,SAMN11943026
Akkermansia muciniphila,239935.2149,SAMN11943027
Akkermansia muciniphila,239935.2148,SAMN11943029
Akkermansia muciniphila,239935.2147,SAMN11943031
Akkermansia muciniphila,239935.2146,SAMN11943033
Akkermansia muciniphila,239935.2145,SAMN11943030
Akkermansia muciniphila,239935.2144,SAMN11943032
Akkermansia muciniphila,239935.2141,SAMN11943035
Akkermansia muciniphila,239935.2142,SAMN11943034
Akkermansia muciniphila,239935.2143,SAMN11943038
Akkermansia muciniphila,239935.2140,SAMN11943037
Akkermansia muciniphila,239935.2139,SAMN11943036
Akkermansia muciniphila,239935.2138,SAMN11943042
Akkermansia muciniphila,239935.2136,SAMN11943041
Akkermansia muciniphila,239935.2137,SAMN11943040
Akkermansia muciniphila,239935.2135,SAMN11943039
Akkermansia muciniphila,239935.2134,SAMN11943043
Akkermansia muciniphila,239935.2133,SAMN11943044
Akkermansia muciniphila,239935.2132,SAMN11943045
Akkermansia sp. BIOML-A1,2584557.3,SAMN11943046
Akkermansia sp. BIOML-A10,2584566.3,SAMN11943055
Akkermansia sp. BIOML-A11,2584567.3,SAMN11943056
Akkermansia sp. BIOML-A12,2584568.3,SAMN11943057
Akkermansia sp. BIOML-A13,2584569.3,SAMN11943058
Akkermansia sp. BIOML-A14,2584570.3,SAMN11943059
Akkermansia sp. BIOML-A15,2584571.3,SAMN11943060
Akkermansia sp. BIOML-A16,2584572.3,SAMN11943061
Akkermansia sp. BIOML-A17,2584573.3,SAMN11943062
Akkermansia sp. BIOML-A18,2584574.3,SAMN11943063
Akkermansia sp. BIOML-A19,2584575.3,SAMN11943064
Akkermansia sp. BIOML-A2,2584558.3,SAMN11943047
Akkermansia sp. BIOML-A20,2584576.3,SAMN11943065
Akkermansia sp. BIOML-A21,2584577.3,SAMN11943066
Akkermansia sp. BIOML-A22,2584578.3,SAMN11943067
Akkermansia sp. BIOML-A23,2584579.3,SAMN11943068
Akkermansia sp. BIOML-A24,2584580.3,SAMN11943069
Akkermansia sp. BIOML-A25,2584581.3,SAMN11943070
Akkermansia sp. BIOML-A26,2584582.3,SAMN11943071
Akkermansia sp. BIOML-A27,2584583.3,SAMN11943072
Akkermansia sp. BIOML-A28,2584584.3,SAMN11943073
Akkermansia sp. BIOML-A29,2584585.3,SAMN11943074
Akkermansia sp. BIOML-A3,2584559.3,SAMN11943048
Akkermansia sp. BIOML-A30,2584586.3,SAMN11943075
Akkermansia sp. BIOML-A31,2584587.3,SAMN11943076
Akkermansia sp. BIOML-A32,2584588.3,SAMN11943077
Akkermansia sp. BIOML-A33,2584589.3,SAMN11943078
Akkermansia sp. BIOML-A34,2584590.3,SAMN11943079
Akkermansia sp. BIOML-A35,2584591.3,SAMN11943080
Akkermansia sp. BIOML-A36,2584592.3,SAMN11943081
Akkermansia sp. BIOML-A37,2584593.3,SAMN11943082
Akkermansia sp. BIOML-A38,2584594.3,SAMN11943083
Akkermansia sp. BIOML-A39,2584595.3,SAMN11943084
Akkermansia sp. BIOML-A4,2584560.3,SAMN11943049
Akkermansia sp. BIOML-A40,2584596.3,SAMN11943085
Akkermansia sp. BIOML-A41,2584597.3,SAMN11943086
Akkermansia sp. BIOML-A42,2584598.3,SAMN11943087
Akkermansia sp. BIOML-A43,2584599.3,SAMN11943088
Akkermansia sp. BIOML-A44,2584600.3,SAMN11943089
Akkermansia sp. BIOML-A45,2584601.3,SAMN11943090
Akkermansia sp. BIOML-A46,2584602.3,SAMN11943091
Akkermansia sp. BIOML-A47,2584603.3,SAMN11943092
Akkermansia sp. BIOML-A48,2584604.3,SAMN11943093
Akkermansia sp. BIOML-A49,2584605.3,SAMN11943094
Akkermansia sp. BIOML-A5,2584561.3,SAMN11943050
Akkermansia sp. BIOML-A50,2584606.3,SAMN11943095
Akkermansia sp. BIOML-A51,2584607.3,SAMN11943096
Akkermansia sp. BIOML-A52,2584608.3,SAMN11943097
Akkermansia sp. BIOML-A53,2584609.3,SAMN11943098
Akkermansia sp. BIOML-A54,2584610.3,SAMN11943099
Akkermansia sp. BIOML-A55,2584611.3,SAMN11943100
Akkermansia sp. BIOML-A56,2584612.3,SAMN11943101
Akkermansia sp. BIOML-A57,2584613.3,SAMN11943102
Akkermansia sp. BIOML-A58,2584614.3,SAMN11943103
Akkermansia sp. BIOML-A59,2584615.3,SAMN11943104
Akkermansia sp. BIOML-A6,2584562.3,SAMN11943051
Akkermansia sp. BIOML-A60,2584616.3,SAMN11943105
Akkermansia sp. BIOML-A61,2584617.3,SAMN11943106
Akkermansia sp. BIOML-A62,2584618.3,SAMN11943107
Akkermansia sp. BIOML-A63,2584619.3,SAMN11943108
Akkermansia sp. BIOML-A64,2584620.3,SAMN11943109
Akkermansia sp. BIOML-A65,2584621.3,SAMN11943110
Akkermansia sp. BIOML-A66,2584622.3,SAMN11943111
Akkermansia sp. BIOML-A67,2584623.3,SAMN11943112
Akkermansia sp. BIOML-A7,2584563.3,SAMN11943052
Akkermansia sp. BIOML-A8,2584564.3,SAMN11943053
Akkermansia sp. BIOML-A9,2584565.3,SAMN11943054
Alistipes finegoldii,214856.2116,SAMN11943113
Alistipes indistinctus,626932.159,SAMN11943115
Alistipes shahii,328814.919,SAMN11943384
Alistipes shahii,328814.920,SAMN11943383
Anaerostipes hadrus,649756.2497,SAMN11943385
Bacillus cereus,1396.2511,SAMN11943386
Bacteroides caccae,47678.882,SAMN11943387
Bacteroides caccae,47678.881,SAMN11943388
Bacteroides caccae,47678.873,SAMN11943396
Bacteroides caccae,47678.872,SAMN11943398
Bacteroides caccae,47678.871,SAMN11943400
Bacteroides caccae,47678.880,SAMN11943389
Bacteroides caccae,47678.879,SAMN11943390
Bacteroides caccae,47678.878,SAMN11943391
Bacteroides caccae,47678.877,SAMN11943392
Bacteroides caccae,47678.876,SAMN11943393
Bacteroides caccae,47678.875,SAMN11943395
Bacteroides caccae,47678.874,SAMN11943399
Bacteroides caccae,47678.899,SAMN11943401
Bacteroides caccae,47678.900,SAMN11943402
Bacteroides caccae,47678.898,SAMN11943403
Bacteroides caccae,47678.897,SAMN11943404
Bacteroides caccae,47678.895,SAMN11943405
Bacteroides caccae,47678.893,SAMN11943408
Bacteroides caccae,47678.894,SAMN11943407
Bacteroides caccae,47678.892,SAMN11943409
Bacteroides caccae,47678.891,SAMN11943410
Bacteroides caccae,47678.890,SAMN11943411
Bacteroides caccae,47678.889,SAMN11943412
Bacteroides caccae,47678.888,SAMN11943413
Bacteroides caccae,47678.896,SAMN11943406
Bacteroides caccae,47678.887,SAMN11943414
Bacteroides caccae,47678.886,SAMN11943415
Bacteroides caccae,47678.885,SAMN11943416
Bacteroides caccae,47678.884,SAMN11943417
Bacteroides caccae,47678.883,SAMN11943418
Bacteroides cellulosilyticus,246787.463,SAMN11943424
Bacteroides cellulosilyticus,246787.462,SAMN11943425
Bacteroides cellulosilyticus,246787.461,SAMN11943426
Bacteroides cellulosilyticus,246787.464,SAMN11943423
Bacteroides cellulosilyticus,246787.466,SAMN11943421
Bacteroides cellulosilyticus,246787.465,SAMN11943419
Bacteroides cellulosilyticus,246787.467,SAMN11943420
Bacteroides dorei,357276.947,SAMN11943427
Bacteroides dorei,357276.944,SAMN11943431
Bacteroides dorei,357276.946,SAMN11943429
Bacteroides dorei,357276.945,SAMN11943430
Bacteroides dorei,357276.942,SAMN11943432
Bacteroides dorei,357276.943,SAMN11943434
Bacteroides dorei,357276.940,SAMN11943433
Bacteroides dorei,357276.938,SAMN11943437
Bacteroides dorei,357276.937,SAMN11943438
Bacteroides dorei,357276.936,SAMN11943439
Bacteroides dorei,357276.935,SAMN11943440
Bacteroides dorei,357276.934,SAMN11943441
Bacteroides dorei,357276.933,SAMN11943442
Bacteroides dorei,357276.932,SAMN11943444
Bacteroides dorei,357276.931,SAMN11943443
Bacteroides dorei,357276.930,SAMN11943445
Bacteroides dorei,357276.929,SAMN11943446
Bacteroides dorei,357276.928,SAMN11943447
Bacteroides dorei,357276.926,SAMN11943451
Bacteroides dorei,357276.927,SAMN11943448
Bacteroides dorei,357276.939,SAMN11943435
Bacteroides dorei,357276.923,SAMN11943452
Bacteroides dorei,357276.924,SAMN11943449
Bacteroides dorei,357276.925,SAMN11943450
Bacteroides dorei,357276.941,SAMN11943436
Bacteroides eggerthii,28111.398,SAMN11943453
Bacteroides eggerthii,28111.397,SAMN11943454
Bacteroides faecis,674529.166,SAMN11943459
Bacteroides faecis,674529.164,SAMN11943460
Bacteroides faecis,674529.165,SAMN11943456
Bacteroides faecis,674529.162,SAMN11943457
Bacteroides faecis,674529.161,SAMN11943458
Bacteroides faecis,674529.163,SAMN11943455
Bacteroides finegoldii,338188.175,SAMN11943461
Bacteroides finegoldii,338188.174,SAMN11943462
Bacteroides finegoldii,338188.172,SAMN11943465
Bacteroides finegoldii,338188.173,SAMN11943463
Bacteroides finegoldii,338188.171,SAMN11943464
Bacteroides finegoldii,338188.170,SAMN11943466
Bacteroides finegoldii,338188.165,SAMN11943471
Bacteroides finegoldii,338188.169,SAMN11943468
Bacteroides finegoldii,338188.168,SAMN11943470
Bacteroides finegoldii,338188.167,SAMN11943467
Bacteroides finegoldii,338188.166,SAMN11943469
Bacteroides intestinalis,329854.322,SAMN11943587
Bacteroides intestinalis,329854.321,SAMN11943588
Bacteroides salyersiae,291644.116,SAMN11943775
Bacteroides salyersiae,291644.104,SAMN11943787
Bacteroides salyersiae,291644.103,SAMN11943788
Bacteroides salyersiae,291644.102,SAMN11943789
Bacteroides salyersiae,291644.100,SAMN11943793
Bacteroides salyersiae,291644.101,SAMN11943790
Bacteroides salyersiae,291644.115,SAMN11943777
Bacteroides salyersiae,291644.114,SAMN11943776
Bacteroides salyersiae,291644.94,SAMN11943800
Bacteroides salyersiae,291644.99,SAMN11943791
Bacteroides salyersiae,291644.96,SAMN11943795
Bacteroides salyersiae,291644.98,SAMN11943794
Bacteroides salyersiae,291644.113,SAMN11943779
Bacteroides salyersiae,291644.112,SAMN11943778
Bacteroides salyersiae,291644.111,SAMN11943780
Bacteroides salyersiae,291644.110,SAMN11943781
Bacteroides salyersiae,291644.109,SAMN11943784
Bacteroides salyersiae,291644.108,SAMN11943783
Bacteroides salyersiae,291644.107,SAMN11943782
Bacteroides salyersiae,291644.106,SAMN11943785
Bacteroides salyersiae,291644.105,SAMN11943786
Bacteroides salyersiae,291644.97,SAMN11943798
Bacteroides salyersiae,291644.95,SAMN11943796
Bacteroides salyersiae,291644.124,SAMN11943801
Bacteroides salyersiae,291644.123,SAMN11943807
Bacteroides salyersiae,291644.121,SAMN11943803
Bacteroides salyersiae,291644.122,SAMN11943804
Bacteroides salyersiae,291644.120,SAMN11943809
Bacteroides salyersiae,291644.119,SAMN11943810
Bacteroides salyersiae,291644.118,SAMN11943812
Bacteroides salyersiae,291644.126,SAMN11943806
Bacteroides salyersiae,291644.125,SAMN11943811
Bacteroides salyersiae,291644.129,SAMN11943802
Bacteroides salyersiae,291644.127,SAMN11943808
Bacteroides salyersiae,291644.128,SAMN11943805
Bacteroides stercoris,46506.1648,SAMN11943813
Bacteroides stercoris,46506.1647,SAMN11943814
Bacteroides stercoris,46506.1646,SAMN11943816
Bacteroides stercoris,46506.1645,SAMN11943815
Bacteroides stercoris,46506.1640,SAMN11943820
Bacteroides stercoris,46506.1644,SAMN11943817
Bacteroides stercoris,46506.1643,SAMN11943818
Bacteroides stercoris,46506.1642,SAMN11943819
Bacteroides stercoris,46506.1641,SAMN11943821
Bacteroides stercoris,46506.1639,SAMN11943822
Bacteroides stercoris,46506.1638,SAMN11943824
Bacteroides stercoris,46506.1637,SAMN11943825
Bacteroides stercoris,46506.1636,SAMN11943823
Bacteroides stercoris,46506.1635,SAMN11943826
Bacteroides stercoris,46506.1633,SAMN11943827
Bacteroides stercoris,46506.1634,SAMN11943828
Bacteroides stercoris,46506.1631,SAMN11943829
Bacteroides stercoris,46506.1632,SAMN11943831
Bacteroides stercoris,46506.1628,SAMN11943833
Bacteroides stercoris,46506.1630,SAMN11943830
Bacteroides stercoris,46506.1629,SAMN11943832
Bacteroides stercoris,46506.1627,SAMN11943834
Bacteroides uniformis,820.4610,SAMN11944032
Bacteroides uniformis,820.4608,SAMN11944035
Bacteroides uniformis,820.4609,SAMN11944034
Bacteroides uniformis,820.4607,SAMN11944033
Bacteroides uniformis,820.4606,SAMN11944036
Bacteroides uniformis,820.4605,SAMN11944037
Bacteroides uniformis,820.4604,SAMN11944040
Bacteroides uniformis,820.4603,SAMN11944038
Bacteroides uniformis,820.4602,SAMN11944039
Bacteroides uniformis,820.4601,SAMN11944042
Bacteroides uniformis,820.4600,SAMN11944041
Bacteroides uniformis,820.4598,SAMN11944045
Bacteroides uniformis,820.4599,SAMN11944043
Bacteroides uniformis,820.4597,SAMN11944044
Bacteroides uniformis,820.4596,SAMN11944046
Bacteroides uniformis,820.4595,SAMN11944047
Bacteroides uniformis,820.4591,SAMN11944050
Bacteroides uniformis,820.4592,SAMN11944052
Bacteroides uniformis,820.4593,SAMN11944051
Bacteroides uniformis,820.4594,SAMN11944048
Bacteroides uniformis,820.4590,SAMN11944053
Bacteroides uniformis,820.4589,SAMN11944054
Bacteroides uniformis,820.4587,SAMN11944055
Bacteroides uniformis,820.4585,SAMN11944056
Bacteroides uniformis,820.4588,SAMN11944057
Bacteroides uniformis,820.4586,SAMN11944058
Bacteroides uniformis,820.4584,SAMN11944059
Bacteroides uniformis,820.4583,SAMN11944060
Bacteroides uniformis,820.4582,SAMN11944061
Bacteroides uniformis,820.4579,SAMN11944064
Bacteroides uniformis,820.4581,SAMN11944062
Bacteroides uniformis,820.4580,SAMN11944063
Bacteroides uniformis,820.4577,SAMN11944068
Bacteroides uniformis,820.4576,SAMN11944065
Bacteroides uniformis,820.4578,SAMN11944066
Bacteroides uniformis,820.4575,SAMN11944067
Bacteroides uniformis,820.4574,SAMN11944069
Bacteroides uniformis,820.4573,SAMN11944070
Bacteroides uniformis,820.4572,SAMN11944072
Bacteroides uniformis,820.4571,SAMN11944071
Bacteroides uniformis,820.4570,SAMN11944073
Bacteroides uniformis,820.4568,SAMN11944075
Bacteroides uniformis,820.4569,SAMN11944074
Bacteroides uniformis,820.4567,SAMN11944076
Bacteroides uniformis,820.4565,SAMN11944078
Bacteroides uniformis,820.4566,SAMN11944077
Bacteroides uniformis,820.4564,SAMN11944079
Bacteroides uniformis,820.4624,SAMN11944080
Bacteroides uniformis,820.4563,SAMN11944084
Bacteroides uniformis,820.4561,SAMN11944082
Bacteroides uniformis,820.4560,SAMN11944083
Bacteroides uniformis,820.4559,SAMN11944081
Bacteroides uniformis,820.4558,SAMN11944085
Bacteroides uniformis,820.4557,SAMN11944086
Bacteroides uniformis,820.4556,SAMN11944087
Bacteroides uniformis,820.4555,SAMN11944088
Bacteroides uniformis,820.4553,SAMN11944090
Bacteroides uniformis,820.4554,SAMN11944089
Bacteroides uniformis,820.4552,SAMN11944091
Bacteroides uniformis,820.4550,SAMN11944093
Bacteroides uniformis,820.4551,SAMN11944092
Bacteroides uniformis,820.4549,SAMN11944094
Bacteroides uniformis,820.4548,SAMN11944095
Bacteroides uniformis,820.4547,SAMN11944096
Bacteroides uniformis,820.4545,SAMN11944098
Bacteroides uniformis,820.4546,SAMN11944097
Bacteroides uniformis,820.4543,SAMN11944099
Bacteroides uniformis,820.4544,SAMN11944102
Bacteroides uniformis,820.4542,SAMN11944100
Bacteroides uniformis,820.4540,SAMN11944103
Bacteroides uniformis,820.4541,SAMN11944101
Bacteroides uniformis,820.4537,SAMN11944107
Bacteroides uniformis,820.4539,SAMN11944105
Bacteroides uniformis,820.4538,SAMN11944104
Bacteroides uniformis,820.4535,SAMN11944106
Bacteroides uniformis,820.4536,SAMN11944108
Bacteroides uniformis,820.4534,SAMN11944110
Bacteroides uniformis,820.4532,SAMN11944111
Bacteroides uniformis,820.4533,SAMN11944112
Bacteroides uniformis,820.4530,SAMN11944113
Bacteroides uniformis,820.4531,SAMN11944114
Bacteroides uniformis,820.4527,SAMN11944117
Bacteroides uniformis,820.4529,SAMN11944115
Bacteroides uniformis,820.4528,SAMN11944116
Bacteroides uniformis,820.4525,SAMN11944119
Bacteroides uniformis,820.4526,SAMN11944118
Bacteroides uniformis,820.4523,SAMN11944120
Bacteroides uniformis,820.4521,SAMN11944123
Bacteroides uniformis,820.4524,SAMN11944122
Bacteroides uniformis,820.4522,SAMN11944121
Bacteroides vulgatus,,SAMN11944219
Bacteroides xylanisolvens,371601.454,SAMN11944299
Bacteroides xylanisolvens,371601.452,SAMN11944297
Bacteroides xylanisolvens,371601.456,SAMN11944281
Bacteroides xylanisolvens,371601.461,SAMN11944325
Bacteroides xylanisolvens,371601.509,SAMN11944331
Bacteroides xylanisolvens,371601.450,SAMN11944302
Bacteroides xylanisolvens,371601.465,SAMN11944322
Bacteroides xylanisolvens,371601.462,SAMN11944324
Bacteroides xylanisolvens,371601.455,SAMN11944282
Bacteroides xylanisolvens,371601.475,SAMN11944306
Bacteroides xylanisolvens,371601.483,SAMN11944290
Bacteroides xylanisolvens,371601.476,SAMN11944304
Bacteroides xylanisolvens,371601.477,SAMN11944305
Bacteroides xylanisolvens,371601.473,SAMN11944307
Bacteroides xylanisolvens,371601.471,SAMN11944311
